listing_id,has_availability,availability_30,availability_60,availability_90,availability_365
241032,True,14,41,71,346
953595,True,13,13,16,291
3308979,True,1,6,17,220
7421966,True,0,0,0,143
278830,True,30,60,90,365
5956968,True,0,0,27,302
1909058,True,20,49,71,346
856550,True,22,42,42,100
4948745,True,6,36,66,341
2493658,True,6,19,49,324
175576,True,0,0,0,153
4454295,True,21,21,21,229
3883392,True,30,60,90,362
8889257,True,13,40,63,337
5680462,True,19,40,65,327
8988178,True,30,60,69,69
3245876,True,29,59,89,364
4933447,True,29,52,82,171
7735464,True,0,0,0,125
6291829,True,24,54,84,359
9218403,True,29,55,85,360
4125779,True,30,60,90,365
8942678,True,0,0,0,53
10106055,True,30,60,90,365
6362362,True,0,0,0,212
3544550,True,0,3,33,293
9025039,True,0,0,0,49
3200646,True,22,49,49,107
8859380,True,24,54,84,356
4520099,True,0,1,30,305
2481869,True,19,46,62,323
1110749,True,23,50,77,162
5978498,True,0,0,9,213
5021081,True,0,0,0,2
1686930,True,11,38,68,309
7680289,True,30,60,90,353
7207641,True,0,0,0,153
5062445,True,28,58,88,363
8925878,True,16,46,76,351
6389657,True,12,38,40,201
4218733,True,19,46,76,351
2715623,True,0,13,43,310
1392332,True,0,3,33,308
7308567,True,8,34,64,339
6575380,True,0,0,11,285
6004058,True,28,58,87,87
9550869,True,30,60,90,354
8515408,True,30,60,89,89
5383192,True,0,0,20,295
1112092,True,30,60,89,89
7772661,True,25,51,81,142
9254900,True,0,15,29,29
7714294,True,0,0,28,303
10310373,True,18,46,76,351
9368342,True,0,0,0,212
6361863,True,15,39,69,331
8105221,True,30,60,90,364
3269390,True,18,32,50,321
4566393,True,30,60,90,365
9282409,True,0,0,0,247
8095168,True,0,0,0,103
2746782,True,18,45,45,103
6424982,True,29,59,89,345
762029,True,19,44,44,102
8988281,True,30,48,48,48
7077910,True,23,25,25,27
3772674,True,20,45,75,347
7021906,True,3,26,46,175
7618605,True,0,0,0,94
10234558,True,20,50,80,355
7021702,True,0,0,0,166
7680439,True,25,55,85,360
4258515,True,30,60,89,89
1148517,True,29,59,88,88
2487892,True,10,38,68,343
3038772,True,15,43,73,348
699460,True,7,22,52,327
4085439,True,26,49,79,345
8053990,True,21,49,79,354
7011773,True,0,0,0,55
2467550,True,0,0,0,48
2686374,True,27,49,79,354
1956274,True,27,49,79,354
8537192,True,0,0,0,247
5919096,True,16,46,76,215
6516529,True,0,0,0,199
3294243,True,0,3,33,258
10210971,True,28,58,88,363
3584790,True,0,0,0,2
1266459,True,4,30,60,335
9098059,True,17,17,17,17
408526,True,30,60,90,365
4118282,True,13,13,13,80
6813483,True,28,28,28,275
6590264,True,30,49,56,56
2650482,True,30,60,90,365
20927,True,10,40,70,341
4395578,True,21,48,78,331
4995903,True,1,31,60,60
5549211,True,5,28,52,295
8240758,True,0,0,0,94
6856295,True,29,59,89,364
6881188,True,28,58,88,363
1579615,True,21,47,77,340
3766866,True,29,59,88,88
2406966,True,12,35,52,313
4872699,True,30,60,90,364
5470629,True,0,0,0,234
2950213,True,29,59,88,88
9015088,True,19,19,19,266
3979496,True,30,60,90,365
7501919,True,22,52,82,357
4732995,True,30,60,89,89
7134759,True,15,43,45,47
4532538,True,30,60,90,365
7534398,True,1,4,34,114
9387189,True,27,57,87,112
6337492,True,0,0,0,149
10231701,True,30,57,87,176
1609922,True,0,10,11,16
4236723,True,30,57,87,362
7843837,True,22,28,28,183
3076065,True,30,60,90,365
6423204,True,10,25,54,54
8338849,True,0,2,2,249
6401209,True,16,46,72,154
20928,True,15,41,59,334
3344977,True,20,47,77,166
7604621,True,30,60,89,89
3303978,True,24,45,61,150
7067082,True,17,42,69,344
3121829,True,0,0,0,240
2539881,True,0,0,0,2
3678718,True,22,51,81,356
4694479,True,26,53,83,358
6646843,True,9,38,68,340
1364440,True,30,60,90,365
1781873,True,30,60,90,179
4138423,True,21,51,81,352
5562674,True,23,43,73,162
1789341,True,0,4,34,174
4672934,True,30,60,90,352
4550099,True,0,0,0,0
1198799,True,2,32,62,337
5308429,True,0,0,28,168
2769088,True,0,3,33,306
7603135,True,0,10,10,143
9374365,True,12,23,51,326
6106498,True,0,0,0,247
9331449,True,12,23,51,326
8799162,True,30,60,89,89
4317390,True,30,60,90,365
3884851,True,30,60,90,365
3155785,True,0,0,0,125
9368517,True,0,0,0,30
5643240,True,8,8,8,93
5042014,True,0,3,33,308
7724630,True,0,0,0,126
9449437,True,0,0,0,232
3053237,True,28,58,88,363
8132347,True,0,0,0,270
63733,True,28,45,75,164
2039149,True,17,42,58,124
227636,True,0,22,52,320
3689119,True,30,60,90,365
1179538,True,12,23,51,326
6823781,True,24,49,49,324
2284536,True,21,49,75,348
5143441,True,16,43,72,345
5749958,True,9,14,14,60
9116815,True,2,32,62,337
7731836,True,21,39,56,56
10262971,True,30,60,90,365
1407502,True,30,60,90,365
8817038,True,3,25,48,114
4449303,True,20,44,72,85
8255615,True,25,55,85,174
4053092,True,10,37,67,342
6886633,True,27,57,86,361
8820414,True,0,0,0,247
3052151,True,25,55,85,360
2339333,True,0,0,0,131
1618842,True,3,21,49,313
888967,True,30,60,90,179
380950,True,0,0,0,205
8097708,True,30,60,90,365
5671843,True,23,53,83,358
904057,True,8,14,38,258
7161725,True,1,4,34,309
9587410,True,28,56,86,361
9202380,True,24,54,84,358
2238105,True,1,1,1,206
9545766,True,30,60,90,365
2441908,True,23,50,58,289
9367465,True,3,7,31,300
3031415,True,10,20,20,21
843812,True,0,0,5,5
3835995,True,24,51,81,353
9732638,True,0,3,33,308
3768745,True,30,60,90,361
3975434,True,30,60,89,89
5620928,True,30,60,90,365
7381677,True,8,8,8,102
5487934,True,30,60,90,287
9028447,True,30,60,90,365
757840,True,8,30,53,303
8848403,True,30,60,90,365
7430926,True,14,32,58,311
7021544,True,0,0,23,112
1323446,True,2,25,51,326
3925573,True,0,0,0,2
8723086,True,20,50,80,201
781474,True,30,60,89,89
9812439,True,18,48,77,77
3401644,True,0,0,20,20
10036903,True,23,53,83,111
5310193,True,1,3,3,128
5308875,True,4,34,52,320
5052459,True,14,37,53,157
7228499,True,19,42,64,152
7651653,True,1,1,1,131
1494986,True,22,52,78,324
1783382,True,17,47,77,352
7513198,True,0,0,0,139
8308316,True,0,4,33,294
9694921,True,5,20,44,47
2472850,True,30,60,90,365
5487522,True,30,60,89,89
4016650,True,29,59,88,88
10229434,True,27,57,87,362
3479241,True,0,12,42,317
5848400,True,19,19,26,301
6077760,True,24,54,84,359
4642956,True,30,60,90,365
1167507,True,1,31,61,336
6044106,True,25,55,84,84
1799255,True,27,57,87,362
8941768,True,13,43,73,348
6569950,True,0,0,0,196
7733192,True,30,57,87,359
9215782,True,3,3,3,3
5175631,True,23,53,83,347
6315614,True,0,0,0,216
9134193,True,0,0,0,43
2481189,True,30,60,90,332
8535897,True,27,57,85,162
9476826,True,30,60,90,365
3144311,True,30,30,32,307
9370007,True,1,5,35,309
6781308,True,8,28,57,57
160222,True,23,45,55,270
4250367,True,30,60,90,365
8755479,True,29,59,85,360
8829156,True,10,22,22,82
5126077,True,30,60,90,365
6108796,True,25,55,85,85
2692126,True,3,33,63,93
6882211,True,3,3,3,124
9573675,True,30,60,90,365
3544953,True,30,60,90,365
2020505,True,21,46,67,156
5580457,True,30,60,90,179
1495271,True,3,3,3,5
8455865,True,19,49,76,233
9679300,True,27,57,87,362
6065566,True,0,0,0,234
4645208,True,25,55,85,360
6115807,True,30,60,90,160
7091397,True,29,59,89,364
6134153,True,29,59,89,159
7763878,True,30,60,90,365
8088447,True,0,0,0,93
3418349,True,18,48,75,102
9199982,True,28,58,88,177
6400000,True,25,55,85,155
6776229,True,11,33,62,62
7627794,True,30,52,68,68
8374102,True,8,38,68,342
6316934,True,0,15,44,44
1820794,True,6,22,44,231
314180,True,2,32,62,132
8670079,True,0,0,0,69
4868135,True,29,59,89,364
5336585,True,0,0,25,300
1427103,True,11,38,66,341
3518808,True,29,57,69,343
8995844,True,0,0,0,46
356566,True,18,42,72,347
6466388,True,0,0,2,277
4531944,True,20,50,80,342
6686072,True,28,58,88,254
4384343,True,2,32,62,337
7900056,True,26,56,86,359
6378563,True,0,0,0,262
5630783,True,24,38,68,157
340706,True,12,15,30,153
6202214,True,3,33,63,152
1030411,True,0,0,0,0
7922373,True,30,60,90,179
6156470,True,27,57,87,362
2994309,True,30,60,90,344
1594328,True,27,54,54,84
8072920,True,9,26,26,130
6915487,True,0,27,35,304
6202603,True,30,60,90,365
5286781,True,27,57,86,86
2818420,True,30,60,90,365
3739681,True,0,0,0,275
7922063,True,30,60,89,89
611509,True,0,0,0,216
1802663,True,20,42,72,343
9797545,True,0,5,35,310
9241055,True,0,0,0,35
9294832,True,26,46,76,351
8643209,True,30,60,90,365
7258811,True,30,60,90,365
10265391,True,27,57,87,362
132120,True,30,60,90,365
6343866,True,29,59,89,363
3066740,True,0,26,56,331
4130112,True,0,0,0,170
4026757,True,30,60,90,365
9545281,True,0,0,0,20
3294804,True,18,48,78,353
4122325,True,0,0,0,0
8308353,True,23,43,61,61
7226013,True,25,55,85,360
5761290,True,30,60,90,364
182716,True,0,9,23,63
3050140,True,0,0,0,262
3254956,True,30,60,90,365
1264287,True,25,55,85,293
3404557,True,29,59,89,364
3939683,True,29,59,89,364
3424242,True,30,60,90,365
7985714,True,30,60,90,365
4279876,True,13,27,47,111
3870253,True,0,0,0,178
2187563,True,30,60,90,365
3889299,True,30,60,90,365
3889330,True,29,59,89,364
1184846,True,26,56,86,361
3626162,True,0,3,19,270
456040,True,23,50,72,347
9033154,True,0,0,0,48
4340838,True,22,52,82,357
808811,True,30,60,90,365
7368030,True,0,0,0,146
522287,True,30,57,86,86
1940787,True,8,8,15,169
3732103,True,30,60,90,365
43373,True,17,43,63,338
5126365,True,30,60,90,365
7182584,True,0,0,0,251
5325214,True,24,54,81,356
2710274,True,26,56,85,85
5128160,True,0,0,0,140
3424114,True,29,59,89,364
2776890,True,0,27,57,146
4521755,True,30,60,90,361
3456599,True,18,48,78,353
8207848,True,30,60,90,365
10249527,True,7,7,7,7
1252740,True,20,31,61,336
4250938,True,30,60,90,361
3791920,True,17,43,73,348
4258762,True,30,60,90,365
7364146,True,6,32,62,337
6765045,True,0,0,0,0
3193738,True,0,0,2,277
8765219,True,30,60,87,360
8174285,True,2,32,62,337
3403638,True,29,59,89,364
7601333,True,0,0,0,121
6707735,True,0,0,0,267
7322718,True,30,60,89,89
3783162,True,0,0,0,0
6606,True,30,60,90,365
3889280,True,30,60,90,365
3971137,True,29,59,89,364
3889050,True,29,59,89,364
799882,True,0,0,0,212
9508386,True,26,56,86,354
6714817,True,0,0,0,186
3773700,True,0,0,0,0
3773568,True,30,60,90,365
9313974,True,25,55,55,85
6492880,True,0,20,43,275
4879013,True,18,35,58,116
3732094,True,30,60,90,365
873073,True,14,21,21,21
234898,True,3,3,3,66
8533375,True,29,59,89,364
6854019,True,0,0,0,176
8418650,True,5,27,36,235
3732076,True,29,59,89,364
4608592,True,30,60,90,343
4862719,True,30,59,88,363
668169,True,1,4,33,33
429453,True,2,32,62,337
10124808,True,28,51,81,339
7459684,True,9,19,49,313
5992645,True,10,30,60,334
7917718,True,0,0,0,191
2986056,True,29,59,89,364
2011193,True,5,5,12,154
3768626,True,28,58,88,363
2026794,True,26,56,85,85
9154294,True,25,50,80,351
430610,True,24,54,84,359
3231850,True,23,44,66,328
2976798,True,23,53,80,333
703058,True,10,27,27,193
7826541,True,0,0,0,119
240920,True,0,3,33,308
6655233,True,0,0,0,121
9866461,True,29,56,56,57
7957729,True,0,0,0,102
1428687,True,27,50,80,355
4803403,True,3,33,63,338
11012,True,30,60,90,365
3888924,True,29,59,89,364
8842808,True,30,60,90,365
1114695,True,20,50,80,355
1715582,True,0,0,0,94
6704734,True,0,0,2,277
8555098,True,30,60,90,365
1214316,True,0,5,35,310
7325455,True,25,55,85,360
6325685,True,24,54,84,259
9596,True,28,58,88,363
9568491,True,21,51,81,356
1747184,True,0,0,0,121
8653843,True,30,60,90,365
6727729,True,0,5,5,190
3888986,True,30,60,90,365
4135710,True,21,51,81,140
3652434,True,28,54,84,359
7667990,True,0,0,0,116
4047058,True,26,41,64,339
7163934,True,24,54,83,83
7717478,True,10,14,14,198
4653552,True,13,13,13,76
6915439,True,0,0,0,19
506542,True,30,44,74,349
4046863,True,16,46,76,350
3915826,True,0,0,0,124
4787415,True,29,59,89,364
1602488,True,30,60,90,365
8459215,True,30,60,90,365
10274175,True,12,40,70,345
9167786,True,28,58,88,363
5686435,True,29,59,89,178
7939058,True,30,60,90,365
8392801,True,6,36,66,341
7404370,True,0,0,0,144
3720511,True,30,60,90,365
8193332,True,0,0,2,126
7957904,True,0,0,0,111
4555997,True,12,42,71,159
2267088,True,12,26,41,283
108468,True,30,60,90,365
6400379,True,10,40,70,345
5948003,True,25,55,84,84
5058086,True,28,56,79,354
1209255,True,13,13,13,260
1914051,True,10,35,38,309
2923529,True,16,37,67,342
1027860,True,0,3,33,308
2373176,True,8,31,61,336
6404427,True,21,51,81,170
8517602,True,20,42,71,329
7035240,True,0,0,0,165
4583161,True,25,55,85,360
7967844,True,18,18,45,95
6562393,True,0,0,0,196
7807087,True,7,22,29,269
5405643,True,22,49,79,313
7011200,True,19,49,79,354
610989,True,0,0,0,2
7839535,True,5,22,52,141
4814894,True,14,14,14,128
186328,True,0,26,56,331
7492877,True,17,47,77,352
6576228,True,0,0,0,63
241016,True,19,49,79,354
6968101,True,10,19,19,187
5648564,True,3,33,63,337
4116645,True,3,29,59,334
2419879,True,0,26,56,331
6425735,True,0,0,0,189
8105351,True,10,10,10,113
9136499,True,0,0,0,42
3639023,True,30,60,90,365
6724599,True,4,34,63,63
4211629,True,0,0,0,116
7151924,True,24,54,84,359
704764,True,25,47,54,166
1796217,True,22,52,82,202
4661812,True,20,50,80,355
8811945,True,0,0,0,0
1090307,True,2,32,62,337
15108,True,0,1,31,306
1882316,True,11,11,11,286
1095207,True,0,0,0,155
1343805,True,0,0,0,153
9217150,True,8,24,50,321
103920,True,30,60,90,365
2215336,True,30,60,86,361
1483944,True,0,0,2,277
6466129,True,6,6,6,253
8536441,True,21,39,55,55
6262987,True,0,0,0,121
8379081,True,23,53,83,228
8365938,True,30,60,90,365
9921445,True,30,60,90,365
132160,True,30,60,90,179
2033191,True,14,44,74,346
8849407,True,30,60,90,365
9922335,True,30,60,90,362
7243974,True,0,0,0,153
6490453,True,30,60,90,365
4025593,True,15,42,54,142
8556103,True,29,55,85,269
955506,True,30,60,90,365
9868607,True,0,0,0,1
8668073,True,30,60,90,365
790860,True,3,33,63,338
261912,True,0,0,0,18
368403,True,16,46,76,335
9878971,True,24,24,24,25
5602370,True,3,33,63,318
9395217,True,0,4,34,309
7331079,True,0,0,0,148
580182,True,2,21,38,236
8152191,True,5,35,65,340
103908,True,30,60,90,365
783061,True,9,12,42,245
7901725,True,0,0,0,114
4968752,True,5,14,24,91
14386,True,8,11,41,316
7517215,True,30,60,90,365
1602421,True,0,0,0,124
3821822,True,25,55,85,360
6073437,True,0,0,0,247
7917700,True,30,60,90,365
6278181,True,0,0,0,121
4279578,True,30,36,60,149
9907337,True,30,60,90,365
1796861,True,0,3,33,308
4211836,True,0,0,0,0
4025954,True,26,47,77,352
6154478,True,28,58,88,363
84030,True,30,60,90,365
4235559,True,0,0,27,27
830948,True,30,60,90,365
3468261,True,0,0,0,91
10026648,True,13,13,13,13
9117633,True,10,37,37,37
9158383,True,0,0,0,41
1145590,True,30,60,90,365
5020848,True,30,60,90,365
9600159,True,0,0,0,16
3522409,True,20,44,74,338
9492873,True,24,49,73,348
5534463,True,30,60,90,363
9409233,True,30,60,90,365
9531265,True,30,60,90,365
