listing_id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,cancellation_policy
241032,85.00,,,,,5.00,moderate
953595,150.00,1000.00,3000.00,100.00,40.00,0.00,strict
3308979,975.00,,,1000.00,300.00,25.00,strict
7421966,100.00,650.00,2300.00,,,0.00,flexible
278830,450.00,,,700.00,125.00,15.00,strict
5956968,120.00,800.00,,,40.00,30.00,strict
1909058,80.00,575.00,,150.00,,10.00,moderate
856550,60.00,360.00,,150.00,25.00,0.00,strict
4948745,90.00,500.00,1700.00,,,0.00,strict
2493658,150.00,1000.00,3000.00,100.00,40.00,0.00,strict
175576,95.00,595.00,,,15.00,15.00,moderate
4454295,99.00,800.00,2000.00,500.00,150.00,0.00,strict
3883392,245.00,1575.00,5800.00,300.00,95.00,0.00,moderate
8889257,165.00,,5000.00,400.00,85.00,20.00,strict
5680462,461.00,,,1500.00,300.00,50.00,strict
8988178,109.00,,,,89.00,0.00,strict
3245876,66.00,,,100.00,35.00,25.00,moderate
4933447,99.00,,,100.00,15.00,0.00,moderate
7735464,200.00,,,,,0.00,flexible
6291829,700.00,4100.00,,500.00,250.00,0.00,flexible
9218403,110.00,750.00,2500.00,,,0.00,flexible
4125779,99.00,568.00,2029.00,,15.00,10.00,moderate
8942678,450.00,3000.00,,,,0.00,flexible
10106055,75.00,350.00,,,,0.00,flexible
6362362,600.00,,,500.00,150.00,0.00,moderate
3544550,450.00,,,500.00,200.00,50.00,strict
9025039,150.00,,,250.00,35.00,0.00,flexible
3200646,45.00,360.00,,150.00,25.00,0.00,strict
8859380,300.00,,,500.00,125.00,0.00,moderate
4520099,80.00,500.00,,,65.00,50.00,strict
2481869,175.00,1000.00,3200.00,,40.00,0.00,strict
1110749,325.00,,,500.00,100.00,60.00,strict
5978498,175.00,699.00,2388.00,200.00,80.00,0.00,flexible
5021081,222.00,1325.00,4650.00,500.00,250.00,75.00,strict
1686930,159.00,,,250.00,99.00,0.00,strict
7680289,125.00,800.00,2700.00,,50.00,25.00,moderate
7207641,348.00,2500.00,,750.00,150.00,20.00,strict
5062445,45.00,450.00,1500.00,,,0.00,flexible
8925878,150.00,950.00,2950.00,,50.00,25.00,moderate
6389657,80.00,,,,20.00,0.00,flexible
4218733,110.00,,,100.00,40.00,15.00,moderate
2715623,148.00,,,,100.00,20.00,strict
1392332,350.00,2100.00,,500.00,100.00,0.00,moderate
7308567,150.00,,,,50.00,0.00,moderate
6575380,150.00,540.00,1911.00,,,0.00,flexible
6004058,100.00,,,,,0.00,flexible
9550869,349.00,,,,200.00,0.00,strict
8515408,110.00,700.00,,,50.00,0.00,moderate
5383192,160.00,1140.00,,100.00,55.00,25.00,moderate
1112092,130.00,1000.00,2700.00,140.00,75.00,25.00,moderate
7772661,99.00,,,,50.00,50.00,moderate
9254900,100.00,,2000.00,,40.00,0.00,flexible
7714294,137.00,815.00,,,20.00,20.00,moderate
10310373,20.00,,,,,0.00,flexible
9368342,150.00,,,500.00,50.00,30.00,strict
6361863,145.00,,,100.00,30.00,10.00,moderate
8105221,80.00,,,,,0.00,flexible
3269390,95.00,,,200.00,60.00,0.00,moderate
4566393,400.00,2100.00,7500.00,750.00,120.00,20.00,moderate
9282409,85.00,450.00,,,,0.00,moderate
8095168,70.00,,,,20.00,0.00,flexible
2746782,90.00,540.00,,150.00,25.00,0.00,strict
6424982,80.00,,,,,15.00,flexible
762029,60.00,360.00,,150.00,25.00,0.00,strict
8988281,175.00,,,250.00,78.00,50.00,moderate
7077910,170.00,1195.00,3195.00,250.00,100.00,100.00,strict
3772674,85.00,650.00,,,50.00,20.00,moderate
7021906,465.00,3035.00,12140.00,1000.00,250.00,0.00,strict
7618605,175.00,,,250.00,50.00,0.00,flexible
10234558,50.00,,,,,0.00,flexible
7021702,60.00,,,,,0.00,flexible
7680439,59.00,351.00,,,12.00,0.00,flexible
4258515,47.00,,,200.00,15.00,10.00,strict
1148517,145.00,,,100.00,45.00,30.00,moderate
2487892,70.00,,,,,0.00,flexible
3038772,55.00,,,100.00,25.00,10.00,moderate
699460,95.00,,2000.00,,30.00,35.00,moderate
4085439,125.00,,,,,0.00,flexible
