listing_id,number_of_reviews,reviews_per_month,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
241032,207,4.07,2011-11-01,2016-01-02,95.0,10.0,10.0,10.0,10.0,9.0,10.0
953595,43,1.48,2013-08-19,2015-12-29,96.0,10.0,10.0,10.0,10.0,10.0,10.0
3308979,20,1.15,2014-07-30,2015-09-03,97.0,10.0,10.0,10.0,10.0,10.0,10.0
7421966,0,,,,,,,,,,
278830,38,0.89,2012-07-10,2015-10-24,92.0,9.0,9.0,10.0,10.0,9.0,9.0
5956968,17,2.45,2015-06-11,2015-09-28,95.0,10.0,10.0,10.0,10.0,10.0,10.0
1909058,58,2.46,2014-01-27,2015-12-07,99.0,10.0,10.0,10.0,10.0,10.0,10.0
856550,173,4.73,2013-01-03,2016-01-01,97.0,10.0,10.0,10.0,10.0,9.0,10.0
4948745,8,1.22,2015-06-22,2015-08-17,97.0,10.0,9.0,10.0,9.0,10.0,10.0
2493658,32,1.55,2014-04-27,2015-12-20,97.0,10.0,10.0,10.0,10.0,10.0,9.0
175576,181,3.33,2011-07-21,2015-11-25,97.0,10.0,10.0,10.0,10.0,10.0,10.0
4454295,8,0.98,2015-05-06,2015-12-16,97.0,10.0,10.0,9.0,10.0,10.0,9.0
3883392,13,0.92,2014-11-09,2015-10-02,98.0,10.0,10.0,10.0,10.0,10.0,10.0
8889257,3,3.0,2015-12-16,2016-01-02,100.0,10.0,10.0,9.0,9.0,10.0,10.0
5680462,18,2.65,2015-06-15,2015-11-15,98.0,9.0,10.0,10.0,10.0,10.0,10.0
8988178,1,0.73,2015-11-25,2015-11-25,80.0,8.0,10.0,8.0,8.0,8.0,8.0
3245876,84,4.55,2014-06-30,2016-01-02,95.0,10.0,9.0,10.0,10.0,10.0,9.0
4933447,45,4.58,2015-03-16,2015-11-06,98.0,10.0,10.0,10.0,10.0,10.0,10.0
7735464,0,,,,,,,,,,
6291829,5,0.82,2015-07-07,2015-08-10,85.0,10.0,9.0,9.0,9.0,8.0,8.0
9218403,1,1.0,2016-01-03,2016-01-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4125779,11,0.71,2014-09-27,2015-10-18,84.0,9.0,9.0,9.0,9.0,10.0,8.0
8942678,1,0.86,2015-12-01,2015-12-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0
10106055,0,,,,,,,,,,
6362362,1,0.18,2015-07-20,2015-07-20,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3544550,8,1.3,2015-07-04,2015-09-02,100.0,10.0,10.0,9.0,10.0,10.0,10.0
9025039,0,,,,,,,,,,
3200646,80,4.38,2014-07-06,2016-01-02,95.0,10.0,10.0,10.0,10.0,9.0,9.0
8859380,6,2.47,2015-10-24,2016-01-02,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4520099,4,0.33,2015-01-04,2015-07-25,85.0,8.0,9.0,7.0,10.0,9.0,9.0
2481869,38,1.86,2014-05-01,2015-10-11,96.0,10.0,10.0,10.0,10.0,10.0,10.0
1110749,68,2.18,2013-06-15,2015-12-21,92.0,9.0,9.0,10.0,9.0,10.0,9.0
5978498,8,1.31,2015-07-06,2015-12-03,88.0,9.0,9.0,9.0,9.0,10.0,9.0
5021081,5,0.99,2015-08-07,2015-11-12,75.0,8.0,9.0,8.0,9.0,9.0,8.0
1686930,62,2.27,2013-10-08,2015-12-07,97.0,10.0,10.0,10.0,10.0,10.0,9.0
7680289,19,4.35,2015-08-27,2015-11-29,95.0,10.0,10.0,10.0,10.0,10.0,10.0
7207641,5,0.97,2015-08-04,2015-09-03,96.0,10.0,10.0,10.0,10.0,10.0,9.0
5062445,7,0.9,2015-05-17,2015-12-08,97.0,9.0,8.0,10.0,10.0,10.0,10.0
8925878,2,0.83,2015-10-25,2015-12-18,100.0,10.0,10.0,10.0,10.0,10.0,10.0
6389657,11,1.98,2015-07-22,2015-08-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4218733,71,4.7,2014-10-09,2016-01-01,90.0,10.0,8.0,10.0,10.0,10.0,9.0
2715623,9,0.46,2014-06-02,2015-10-29,91.0,9.0,10.0,9.0,9.0,10.0,10.0
1392332,41,1.38,2013-07-29,2015-07-31,98.0,10.0,10.0,10.0,10.0,10.0,9.0
7308567,18,3.35,2015-07-28,2015-12-31,98.0,10.0,10.0,10.0,10.0,10.0,10.0
6575380,9,1.99,2015-08-22,2015-09-20,100.0,10.0,10.0,9.0,9.0,10.0,10.0
6004058,20,2.29,2015-04-18,2016-01-02,92.0,9.0,9.0,9.0,9.0,9.0,9.0
9550869,0,,,,,,,,,,
8515408,3,1.06,2015-10-12,2015-12-31,100.0,10.0,10.0,10.0,10.0,10.0,10.0
5383192,1,0.16,2015-06-29,2015-06-29,100.0,8.0,10.0,10.0,10.0,10.0,10.0
1112092,26,0.8,2013-05-05,2015-12-29,95.0,10.0,10.0,9.0,10.0,10.0,9.0
7772661,2,2.0,2015-12-20,2015-12-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9254900,0,,,,,,,,,,
7714294,3,0.64,2015-08-18,2015-09-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0
10310373,0,,,,,,,,,,
9368342,0,,,,,,,,,,
6361863,44,5.64,2015-05-16,2016-01-01,94.0,10.0,10.0,10.0,10.0,10.0,9.0
8105221,10,2.5,2015-09-07,2015-11-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3269390,77,4.12,2014-06-23,2015-12-28,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4566393,0,,,,,,,,,,
9282409,2,1.3,2015-11-20,2015-12-12,100.0,10.0,10.0,10.0,10.0,10.0,10.0
8095168,1,0.25,2015-09-08,2015-09-08,100.0,10.0,10.0,10.0,10.0,10.0,10.0
2746782,109,5.24,2014-04-21,2015-12-29,97.0,10.0,10.0,10.0,10.0,9.0,10.0
6424982,52,7.06,2015-05-29,2016-01-02,92.0,9.0,9.0,10.0,10.0,10.0,9.0
762029,191,4.96,2012-11-05,2016-01-01,97.0,10.0,10.0,10.0,10.0,9.0,10.0
8988281,0,,,,,,,,,,
7077910,9,1.82,2015-08-10,2015-11-29,91.0,9.0,9.0,10.0,10.0,10.0,9.0
