id,amenities
241032,TV
241032,Cable TV
241032,Internet
241032,Wireless Internet
241032,Air Conditioning
241032,Kitchen
241032,Heating
241032,Family/Kid Friendly
241032,Washer
241032,Dryer
953595,TV
953595,Internet
953595,Wireless Internet
953595,Kitchen
953595,Free Parking on Premises
953595,Buzzer/Wireless Intercom
953595,Heating
953595,Family/Kid Friendly
953595,Washer
953595,Dryer
953595,Smoke Detector
953595,Carbon Monoxide Detector
953595,First Aid Kit
953595,Safety Card
953595,Fire Extinguisher
953595,Essentials
3308979,TV
3308979,Cable TV
3308979,Internet
3308979,Wireless Internet
3308979,Air Conditioning
3308979,Kitchen
3308979,Free Parking on Premises
3308979,Pets Allowed
3308979,Pets live on this property
3308979,Dog(s)
3308979,Cat(s)
3308979,Hot Tub
3308979,Indoor Fireplace
3308979,Heating
3308979,Family/Kid Friendly
3308979,Washer
3308979,Dryer
3308979,Smoke Detector
3308979,Carbon Monoxide Detector
3308979,Essentials
3308979,Shampoo
7421966,Internet
7421966,Wireless Internet
7421966,Kitchen
7421966,Indoor Fireplace
7421966,Heating
7421966,Family/Kid Friendly
7421966,Washer
7421966,Dryer
7421966,Smoke Detector
7421966,Carbon Monoxide Detector
7421966,Safety Card
7421966,Fire Extinguisher
7421966,Essentials
7421966,Shampoo
278830,TV
278830,Cable TV
278830,Internet
278830,Wireless Internet
278830,Kitchen
278830,Heating
278830,Family/Kid Friendly
278830,Smoke Detector
278830,Carbon Monoxide Detector
278830,First Aid Kit
278830,Fire Extinguisher
278830,Essentials
278830,Shampoo
5956968,Wireless Internet
5956968,Free Parking on Premises
5956968,Heating
5956968,Smoke Detector
5956968,Essentials
5956968,Shampoo
1909058,Wireless Internet
1909058,Free Parking on Premises
1909058,Heating
1909058,Smoke Detector
1909058,First Aid Kit
1909058,Essentials
1909058,Shampoo
856550,Wireless Internet
856550,Pets live on this property
856550,Dog(s)
856550,Heating
856550,Family/Kid Friendly
856550,Essentials
856550,Shampoo
4948745,TV
4948745,Cable TV
4948745,Internet
4948745,Wireless Internet
4948745,Kitchen
4948745,Breakfast
4948745,Indoor Fireplace
4948745,Heating
4948745,Washer
4948745,Dryer
4948745,Smoke Detector
4948745,First Aid Kit
4948745,Fire Extinguisher
4948745,Essentials
4948745,Shampoo
2493658,TV
2493658,Internet
2493658,Wireless Internet
2493658,Kitchen
2493658,Free Parking on Premises
2493658,Buzzer/Wireless Intercom
2493658,Heating
2493658,Family/Kid Friendly
2493658,Washer
2493658,Dryer
2493658,Smoke Detector
2493658,Carbon Monoxide Detector
2493658,First Aid Kit
2493658,Safety Card
2493658,Fire Extinguisher
2493658,Essentials
175576,TV
175576,Cable TV
175576,Internet
175576,Wireless Internet
175576,Kitchen
175576,Free Parking on Premises
175576,Heating
175576,Washer
175576,Dryer
175576,Smoke Detector
175576,Carbon Monoxide Detector
175576,First Aid Kit
175576,Safety Card
175576,Fire Extinguisher
175576,Essentials
175576,Shampoo
175576,24-Hour Check-in
175576,Hangers
175576,Hair Dryer
175576,Iron
175576,Laptop Friendly Workspace
4454295,TV
4454295,Cable TV
4454295,Wireless Internet
4454295,Kitchen
4454295,Free Parking on Premises
4454295,Indoor Fireplace
4454295,Heating
4454295,Smoke Detector
4454295,Carbon Monoxide Detector
4454295,Fire Extinguisher
4454295,Essentials
4454295,Shampoo
3883392,TV
3883392,Cable TV
3883392,Internet
3883392,Wireless Internet
3883392,Kitchen
3883392,Free Parking on Premises
3883392,Buzzer/Wireless Intercom
3883392,Heating
3883392,Family/Kid Friendly
3883392,Washer
3883392,Dryer
3883392,Smoke Detector
3883392,Carbon Monoxide Detector
3883392,First Aid Kit
3883392,Fire Extinguisher
3883392,Essentials
3883392,Shampoo
8889257,TV
8889257,Cable TV
8889257,Internet
8889257,Wireless Internet
8889257,Kitchen
8889257,Heating
8889257,Family/Kid Friendly
8889257,Washer
8889257,Dryer
8889257,Smoke Detector
8889257,Carbon Monoxide Detector
8889257,First Aid Kit
8889257,Safety Card
8889257,Fire Extinguisher
8889257,Essentials
8889257,Shampoo
5680462,TV
5680462,Cable TV
5680462,Internet
5680462,Wireless Internet
5680462,Kitchen
5680462,Free Parking on Premises
5680462,Indoor Fireplace
5680462,Heating
5680462,Family/Kid Friendly
5680462,Suitable for Events
5680462,Washer
5680462,Dryer
5680462,Smoke Detector
5680462,Carbon Monoxide Detector
5680462,First Aid Kit
5680462,Safety Card
5680462,Fire Extinguisher
5680462,Essentials
5680462,Shampoo
8988178,TV
8988178,Cable TV
8988178,Internet
8988178,Kitchen
8988178,Free Parking on Premises
8988178,Heating
8988178,Family/Kid Friendly
8988178,Washer
8988178,Dryer
8988178,Smoke Detector
8988178,Carbon Monoxide Detector
8988178,Fire Extinguisher
8988178,Essentials
3245876,Internet
3245876,Wireless Internet
3245876,Pets Allowed
3245876,Breakfast
3245876,Pets live on this property
3245876,Cat(s)
3245876,Heating
3245876,Washer
3245876,Dryer
3245876,Smoke Detector
3245876,Carbon Monoxide Detector
3245876,First Aid Kit
3245876,Essentials
3245876,Shampoo
4933447,Wireless Internet
4933447,Free Parking on Premises
4933447,Heating
4933447,Smoke Detector
4933447,Carbon Monoxide Detector
4933447,Fire Extinguisher
4933447,Essentials
4933447,Shampoo
7735464,TV
7735464,Cable TV
7735464,Internet
7735464,Wireless Internet
7735464,Kitchen
7735464,Free Parking on Premises
7735464,Pets live on this property
7735464,Dog(s)
7735464,Indoor Fireplace
7735464,Buzzer/Wireless Intercom
7735464,Heating
7735464,Family/Kid Friendly
7735464,Washer
7735464,Dryer
7735464,Smoke Detector
7735464,Carbon Monoxide Detector
7735464,First Aid Kit
7735464,Fire Extinguisher
7735464,Essentials
7735464,Shampoo
6291829,TV
6291829,Cable TV
6291829,Wireless Internet
6291829,Kitchen
6291829,Free Parking on Premises
6291829,Pets Allowed
6291829,Pets live on this property
6291829,Dog(s)
6291829,Cat(s)
6291829,Indoor Fireplace
6291829,Heating
6291829,Family/Kid Friendly
6291829,Washer
6291829,Dryer
6291829,Smoke Detector
6291829,Carbon Monoxide Detector
6291829,First Aid Kit
6291829,Fire Extinguisher
6291829,Shampoo
9218403,Internet
9218403,Wireless Internet
9218403,Kitchen
9218403,Free Parking on Premises
9218403,Pets Allowed
9218403,Elevator in Building
9218403,Heating
9218403,Smoke Detector
9218403,Carbon Monoxide Detector
9218403,Essentials
9218403,Shampoo
4125779,Cable TV
4125779,Internet
4125779,Wireless Internet
4125779,Free Parking on Premises
4125779,Pets live on this property
4125779,Heating
4125779,Family/Kid Friendly
4125779,Dryer
4125779,Smoke Detector
4125779,First Aid Kit
4125779,Essentials
4125779,Shampoo
8942678,TV
8942678,Wireless Internet
8942678,Kitchen
8942678,Free Parking on Premises
8942678,Indoor Fireplace
8942678,Heating
8942678,Family/Kid Friendly
8942678,Washer
8942678,Dryer
8942678,Smoke Detector
8942678,Carbon Monoxide Detector
8942678,Safety Card
8942678,Fire Extinguisher
10106055,Internet
10106055,Wireless Internet
10106055,Air Conditioning
10106055,Free Parking on Premises
10106055,Pets Allowed
10106055,Heating
10106055,Family/Kid Friendly
10106055,Washer
10106055,Dryer
10106055,Smoke Detector
10106055,Carbon Monoxide Detector
10106055,First Aid Kit
10106055,Safety Card
10106055,Fire Extinguisher
10106055,Essentials
10106055,Shampoo
10106055,Lock on Bedroom Door
10106055,24-Hour Check-in
10106055,Hangers
10106055,Laptop Friendly Workspace
6362362,TV
6362362,Cable TV
6362362,Wireless Internet
6362362,Kitchen
6362362,Free Parking on Premises
6362362,Indoor Fireplace
6362362,Heating
6362362,Washer
6362362,Dryer
6362362,Smoke Detector
6362362,Carbon Monoxide Detector
6362362,Essentials
3544550,TV
3544550,Cable TV
3544550,Wireless Internet
3544550,Air Conditioning
3544550,Wheelchair Accessible
3544550,Kitchen
3544550,Free Parking on Premises
3544550,Indoor Fireplace
3544550,Heating
3544550,Family/Kid Friendly
3544550,Washer
3544550,Dryer
3544550,Smoke Detector
3544550,Carbon Monoxide Detector
3544550,Essentials
3544550,Shampoo
9025039,Cable TV
9025039,Wireless Internet
9025039,Kitchen
9025039,Free Parking on Premises
9025039,Heating
9025039,Family/Kid Friendly
9025039,Washer
9025039,Dryer
9025039,Smoke Detector
9025039,First Aid Kit
9025039,Essentials
9025039,Shampoo
9025039,Hangers
3200646,Wireless Internet
3200646,Pets live on this property
3200646,Dog(s)
3200646,Heating
3200646,Family/Kid Friendly
3200646,Essentials
8859380,TV
8859380,Cable TV
8859380,Wireless Internet
8859380,Kitchen
8859380,Free Parking on Premises
8859380,Indoor Fireplace
8859380,Heating
8859380,Family/Kid Friendly
8859380,Washer
8859380,Dryer
8859380,Smoke Detector
8859380,First Aid Kit
8859380,Fire Extinguisher
8859380,Shampoo
8859380,Hangers
8859380,Hair Dryer
8859380,Iron
8859380,Laptop Friendly Workspace
4520099,TV
4520099,Cable TV
4520099,Wireless Internet
4520099,Wheelchair Accessible
4520099,Kitchen
4520099,Indoor Fireplace
4520099,Buzzer/Wireless Intercom
4520099,Heating
4520099,Family/Kid Friendly
4520099,Washer
4520099,Dryer
4520099,Smoke Detector
4520099,Essentials
4520099,Shampoo
2481869,TV
2481869,Internet
2481869,Wireless Internet
2481869,Kitchen
2481869,Free Parking on Premises
2481869,Heating
2481869,Family/Kid Friendly
2481869,Washer
2481869,Dryer
2481869,Smoke Detector
2481869,Carbon Monoxide Detector
2481869,First Aid Kit
2481869,Fire Extinguisher
2481869,Essentials
1110749,TV
1110749,Internet
1110749,Wireless Internet
1110749,Kitchen
1110749,Free Parking on Premises
1110749,Heating
1110749,Family/Kid Friendly
1110749,Washer
1110749,Dryer
1110749,Smoke Detector
1110749,Carbon Monoxide Detector
1110749,First Aid Kit
1110749,Fire Extinguisher
5978498,TV
5978498,Cable TV
5978498,Internet
5978498,Wireless Internet
5978498,Kitchen
5978498,Free Parking on Premises
5978498,Heating
5978498,Washer
5978498,Dryer
5978498,Smoke Detector
5978498,First Aid Kit
5978498,Essentials
5978498,Shampoo
5978498,24-Hour Check-in
5978498,Hangers
5978498,Laptop Friendly Workspace
5021081,TV
5021081,Cable TV
5021081,Internet
5021081,Wireless Internet
5021081,Kitchen
5021081,Free Parking on Premises
5021081,Pets Allowed
5021081,Indoor Fireplace
5021081,Heating
5021081,Family/Kid Friendly
5021081,Washer
5021081,Dryer
5021081,Smoke Detector
5021081,Carbon Monoxide Detector
5021081,Essentials
5021081,Shampoo
1686930,TV
1686930,Cable TV
1686930,Internet
1686930,Wireless Internet
1686930,Kitchen
1686930,Free Parking on Premises
1686930,Pets Allowed
1686930,Pets live on this property
1686930,Dog(s)
1686930,Heating
1686930,Family/Kid Friendly
1686930,Washer
1686930,Dryer
1686930,Smoke Detector
1686930,Carbon Monoxide Detector
1686930,First Aid Kit
1686930,Fire Extinguisher
1686930,Essentials
1686930,Shampoo
7680289,TV
7680289,Cable TV
7680289,Internet
7680289,Wireless Internet
7680289,Air Conditioning
7680289,Kitchen
7680289,Free Parking on Premises
7680289,Heating
7680289,Family/Kid Friendly
7680289,Washer
7680289,Dryer
7680289,Smoke Detector
7680289,Carbon Monoxide Detector
7680289,Fire Extinguisher
7680289,Essentials
7680289,Shampoo
7207641,TV
7207641,Internet
7207641,Wireless Internet
7207641,Kitchen
7207641,Free Parking on Premises
7207641,Dog(s)
7207641,Heating
7207641,Family/Kid Friendly
7207641,Washer
7207641,Dryer
7207641,Smoke Detector
7207641,Carbon Monoxide Detector
7207641,Essentials
7207641,Shampoo
5062445,TV
5062445,Internet
5062445,Wireless Internet
5062445,Kitchen
5062445,Free Parking on Premises
5062445,Heating
5062445,Washer
5062445,Dryer
5062445,Smoke Detector
5062445,First Aid Kit
5062445,Essentials
8925878,TV
8925878,Cable TV
8925878,Internet
8925878,Wireless Internet
8925878,Kitchen
8925878,Free Parking on Premises
8925878,Heating
8925878,Family/Kid Friendly
8925878,Washer
8925878,Dryer
8925878,Essentials
8925878,Shampoo
6389657,TV
6389657,Cable TV
6389657,Internet
6389657,Wireless Internet
6389657,Kitchen
6389657,Free Parking on Premises
6389657,Heating
6389657,Washer
6389657,Dryer
6389657,Smoke Detector
6389657,Carbon Monoxide Detector
6389657,First Aid Kit
6389657,Fire Extinguisher
6389657,Essentials
6389657,Shampoo
6389657,24-Hour Check-in
6389657,Hangers
6389657,Hair Dryer
6389657,Iron
6389657,Laptop Friendly Workspace
4218733,TV
4218733,Cable TV
4218733,Internet
4218733,Wireless Internet
4218733,Kitchen
4218733,Free Parking on Premises
4218733,Heating
4218733,Family/Kid Friendly
4218733,Washer
4218733,Dryer
4218733,Smoke Detector
4218733,Essentials
4218733,Shampoo
4218733,Hangers
4218733,Hair Dryer
4218733,Iron
4218733,Laptop Friendly Workspace
2715623,TV
2715623,Internet
2715623,Wireless Internet
2715623,Kitchen
2715623,Indoor Fireplace
2715623,Heating
2715623,Smoke Detector
2715623,Carbon Monoxide Detector
2715623,Fire Extinguisher
2715623,Essentials
2715623,Shampoo
1392332,TV
1392332,Cable TV
1392332,Internet
1392332,Wireless Internet
